Philadelphia,25,75,10,210,90,30,40,235,180,80,50,75,80,65,50,55,155,185,115,65,220,145,155,160,70,90,120,65,280,120,300,80,105,125,90,120,110,85,125,10,35,310,150,130,0,270,35,235,45,300,185,170,285,25,300,235,180,295,310,295,135,265,95,120,110,190,15
Phoenix,275,190,270,190,175,295,245,165,140,225,240,190,195,210,225,215,110,105,170,220,45,220,110,130,200,220,150,215,75,160,45,225,175,260,195,195,175,195,160,280,265,90,125,160,270,0,235,140,305,160,95,160,105,265,90,120,105,40,90,180,130,200,180,195,240,85,265
Pittsburgh,55,80,35,175,80,65,25,200,145,80,60,70,45,30,15,20,130,150,85,30,185,110,130,145,35,105,90,60,245,95,265,45,80,140,55,85,105,60,115,45,50,275,115,95,35,235,0,200,80,265,150,135,250,40,265,200,155,260,275,260,120,230,60,85,125,155,30
Pocatello,235,210,235,50,205,255,205,25,75,240,230,215,150,180,190,185,150,60,120,180,135,135,150,170,170,235,125,205,60,160,90,175,170,275,155,135,225,190,185,245,245,90,125,105,235,140,200,0,270,70,75,100,70,240,85,15,175,110,90,90,155,60,145,135,255,110,230
Portland ME,30,120,55,240,135,10,60,265,215,110,95,120,115,105,80,95,195,215,150,85,255,175,205,205,105,130,160,105,260,180,335,115,150,170,120,155,145,130,165,35,80,340,185,160,45,305,80,270,0,335,220,215,315,70,335,265,225,335,340,325,160,295,130,155,150,220,55
Portland OR,300,280,305,95,265,320,270,70,130,310,305,265,220,245,255,255,225,135,190,250,200,160,225,250,245,315,195,275,135,245,120,245,250,350,215,180,285,250,275,310,320,70,215,175,300,160,265,70,335,0,145,145,75,310,65,90,250,130,70,20,240,35,220,180,330,185,300
Pueblo,185,150,180,75,135,210,155,100,45,185,180,140,105,125,135,130,75,10,70,130,60,125,75,100,115,180,60,145,110,100,135,120,110,215,115,95,140,125,135,195,190,140,70,55,185,95,150,75,220,145,0,65,120,185,135,65,95,135,140,160,100,130,90,95,200,35,180
Rapid City,170,160,170,50,145,205,140,75,30,190,180,145,90,120,125,135,125,55,70,130,130,45,125,150,110,190,75,150,140,125,175,125,125,225,90,50,160,130,155,180,195,175,90,55,170,160,135,100,215,145,65,0,155,190,170,95,150,185,175,140,130,110,95,50,205,110,180
Reno,255,260,285,120,230,305,255,95,125,295,275,245,200,230,235,235,190,115,170,230,105,150,190,220,220,275,175,250,80,215,60,225,205,330,205,190,250,230,220,295,285,25,160,155,285,105,250,70,315,75,120,155,0,280,15,55,200,85,25,95,210,110,205,190,310,155,280
Richmond,50,60,15,215,75,55,55,235,185,40,35,60,85,60,55,55,140,185,120,70,205,150,140,145,70,65,120,50,280,105,285,70,90,100,95,125,95,70,105,35,10,310,140,135,25,265,40,240,70,310,185,190,280,0,305,235,165,285,310,300,120,270,90,125,85,180,10
Sacramento,270,270,300,135,240,320,270,110,140,310,290,260,320,245,250,250,195,130,180,245,120,200,195,210,235,290,190,265,65,215,50,240,220,335,220,205,260,245,235,310,310,10,175,170,300,90,265,85,335,65,135,170,15,305,0,70,190,65,10,85,215,100,210,205,315,145,295
Salt Lake City,235,205,230,65,190,255,205,45,75,235,225,205,150,180,185,180,135,55,115,180,125,130,135,160,170,235,120,200,45,160,80,170,165,270,150,135,195,190,185,240,245,80,125,105,235,120,200,15,265,90,65,95,55,235,70,0,160,90,80,105,150,80,145,135,250,95,230
San Antonio,195,105,170,175,95,210,165,195,140,135,135,105,120,125,145,135,25,110,100,140,60,150,25,20,115,120,80,115,145,60,145,115,75,155,130,125,70,100,55,190,160,190,50,100,180,105,155,175,225,250,95,150,200,165,190,160,0,170,190,265,50,235,90,125,135,70,170
San Diego,315,225,285,155,210,325,270,130,165,260,255,235,220,235,250,240,145,145,205,245,80,220,145,160,225,255,175,235,45,180,15,225,190,290,230,225,210,215,195,305,280,60,145,190,295,40,260,110,335,130,135,185,85,285,65,90,170,0,60,150,165,170,200,225,270,110,285
San Francisco,310,270,305,140,255,330,280,120,150,305,300,270,225,255,260,265,195,135,190,255,130,205,195,210,245,300,195,270,65,215,45,245,230,335,225,210,260,255,245,315,320,0,180,175,310,90,275,90,340,70,140,175,25,310,10,80,190,60,0,90,215,110,220,210,315,145,305
Seattle,315,280,295,90,270,315,265,65,125,315,300,270,215,240,250,250,240,155,195,240,220,150,240,260,230,315,195,270,150,265,135,250,245,350,210,175,280,255,290,305,310,90,230,180,295,180,260,90,325,20,160,140,95,300,85,105,265,150,90,0,260,30,220,175,330,205,290
Shreveport,160,65,125,160,45,165,140,185,125,95,90,70,85,85,110,115,20,100,80,105,85,130,20,25,90,90,55,80,170,20,165,80,40,125,85,60,45,65,30,155,120,215,105,75,135,130,120,155,160,240,100,130,210,120,215,150,50,165,215,260,0,225,85,105,110,65,120
Spokane,265,280,265,60,240,285,235,35,90,280,270,185,185,210,215,215,210,125,165,210,200,120,210,230,200,280,165,240,170,230,155,220,215,320,180,145,250,225,260,275,280,110,200,150,265,200,230,60,295,35,130,110,110,270,100,80,235,170,110,30,225,0,190,145,300,175,260
St Louis,100,60,90,130,50,120,70,155,100,90,80,45,30,35,50,40,70,90,35,50,120,80,70,90,25,90,30,55,190,35,205,25,30,130,35,55,65,30,70,105,100,220,55,40,95,180,60,145,130,220,90,95,205,90,210,145,90,200,220,220,85,190,0,55,110,95,90
St Paul,120,115,120,90,105,140,90,110,80,140,125,100,40,70,75,75,100,90,25,65,140,25,100,120,60,150,50,95,180,95,215,70,90,185,35,0,125,85,125,130,135,210,80,35,120,195,85,135,155,180,95,50,190,125,205,135,125,225,210,175,105,145,55,0,165,110,115
Tampa,135,55,100,240,60,140,140,265,150,45,60,20,125,100,125,115,125,200,145,125,195,190,125,115,110,20,135,70,285,95,275,100,85,20,135,165,65,80,80,120,60,315,135,150,110,240,125,255,150,330,200,205,310,85,315,250,135,270,315,330,110,300,110,165,0,175,95
Tucumcari,185,130,185,110,115,210,165,135,80,160,155,130,110,125,145,140,50,45,90,140,35,140,50,80,115,160,65,130,95,75,115,120,85,195,110,115,115,110,100,200,185,145,40,85,190,85,155,110,220,185,35,110,155,180,145,95,70,110,145,205,65,175,95,110,175,0,180
Washington,35,85,50,205,75,45,45,225,175,50,40,60,75,55,45,50,140,180,110,60,295,140,140,150,65,60,115,50,275,105,290,65,95,110,65,115,100,70,110,20,25,305,140,125,15,265,30,230,55,300,180,180,280,10,295,230,170,285,305,290,120,260,90,115,95,180,0
